"Daily Weather Observations for Melbourne, Victoria for August 2020"
"Prepared at 16:01 UTC on Sunday  7 March 2021   IDCJDW3050.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,5.7,16.4,0,3.2,6.9,N,43,11:20,11.0,78,7,N,20,1024.7,15.8,54,1,N,19,1021.7
,2020-08-2,9.0,18.2,0,2.8,9.7,N,35,10:46,10.7,78,2,N,19,1024.0,17.7,47,7,N,17,1020.5
,2020-08-3,7.5,16.0,0,2.8,6.4,SSW,33,18:08,10.8,74,6,NNW,13,1017.8,15.0,46,7,W,11,1013.3
,2020-08-4,5.1,10.5,1.2,2.2,7.4,SW,41,11:21,6.1,67,3,NW,15,1013.0,10.0,53,6,W,19,1012.3
,2020-08-5,4.7,11.3,5.8,2.4,4.0,SSW,35,12:43,8.0,75,2,W,9,1016.8,10.1,67,7,SSW,9,1016.4
,2020-08-6,5.5,12.8,0.8,1.0,2.3,S,20,12:24,8.1,85,7,WSW,6,1021.6,12.2,74,7,SSW,9,1020.5
,2020-08-7,3.3,12.7,0,1.0,0.0,ESE,37,13:44,4.7,100,8, ,Calm,1020.2,12.1,58,8,SE,13,1016.1
,2020-08-8,4.7,14.9,6.8,0.8,4.4,ESE,35,13:40,10.7,97,7,ESE,7,1016.3,14.5,74,5,SE,17,1015.2
,2020-08-9,8.9,15.8,0.2,1.2,6.4,SSE,41,11:06,10.0,93,6,S,9,1019.9,15.4,52,2,SE,13,1019.1
,2020-08-10,5.7,14.8,0,1.8,7.9,SSE,24,01:26,9.5,89,6,N,4,1023.4,14.3,65,1,SSW,7,1020.1
,2020-08-11,4.3,15.8,0,2.0,3.9,N,46,13:33,9.4,77,7,N,9,1018.8,15.1,49,7,N,22,1015.2
,2020-08-12,9.4,15.9,0.8,3.4,2.2,N,41,17:07,11.9,86,7,N,15,1010.9,14.6,73,7,NNW,22,1007.6
,2020-08-13,11.4,18.1,1.2,1.4,7.3,N,39,15:04,14.0,85,4,N,19,1011.6,16.9,70,5,N,24,1010.3
,2020-08-14,10.7,18.1,0.8,1.6,1.5,N,35,11:49,13.5,82,7,NNE,9,1012.7,16.1,83,7, ,Calm,1010.8
,2020-08-15,7.4,14.9,2.8,1.2,5.0,SSW,22,11:53,10.7,98,1,NE,7,1013.6,14.1,80,6,SSW,11,1012.3
,2020-08-16,10.7,15.0,0.4,2.4,4.3,S,31,14:13,11.4,97,7,SW,9,1013.6,13.1,89,6,SSW,13,1011.5
,2020-08-17,9.5,16.3,0,1.4,4.9,N,30,22:42,11.1,82,6,WNW,7,1011.7,15.9,50,7,WNW,9,1007.1
,2020-08-18,10.0,17.2,0.2,2.6,7.7,NNW,41,14:11,12.6,77,1,NNE,15,1001.2,14.4,63,6,N,19,996.9
,2020-08-19,9.7,12.7,1.2,2.4,0.8,N,31,06:40,10.0,79,7,N,15,990.4,11.4,88,7,SW,6,991.0
,2020-08-20,9.6,15.7,3.8,1.6,5.9,NW,37,11:13,11.4,70,5,WNW,13,1001.8,14.3,47,6,WNW,13,1000.7
,2020-08-21,8.5,14.1,0.4,4.4,8.0,NNW,46,12:33,10.3,56,1,NW,15,1001.6,11.3,51,4,NNW,24,1000.3
,2020-08-22,5.8,11.1,4.4,3.0,2.2,W,46,13:55,7.0,82,7,NW,11,1001.7,7.2,92,7,SW,11,1003.0
,2020-08-23,6.8,11.5,25.6,3.2,0.8,S,37,14:45,8.2,100,7,W,6,1012.2,10.6,74,7,S,17,1013.4
,2020-08-24,6.3,12.4,2.8,1.2,5.9,SSW,28,14:26,8.6,79,3,WNW,9,1022.3,10.8,65,7,S,11,1022.7
,2020-08-25,3.6,13.0,0,2.2,4.1,S,26,12:09,8.4,80,7,ESE,6,1030.2,11.7,74,7,SSW,9,1029.2
,2020-08-26,6.1,14.5,0,1.0,7.2,NNW,20,23:16,9.4,80,6, ,Calm,1031.2,14.1,53,5,SSW,9,1027.3
,2020-08-27,8.8,20.7,0,3.0,8.0,SSW,61,17:50,11.3,59,7,N,20,1022.5,18.3,46,5,N,24,1013.8
,2020-08-28,8.5,17.6,1.4,4.8,9.8,W,26,10:36,11.0,69,1,NW,9,1027.6,17.0,40,1,WNW,7,1026.4
,2020-08-29,9.2,19.3,0,2.8,10.7,N,46,11:34,12.0,67,0,N,26,1028.0,18.8,39,0,N,22,1023.5
,2020-08-30,12.0,19.8,0,3.0,3.2,N,54,10:33,15.2,52,7,N,26,1018.0,19.6,39,7,NNW,19,1012.4
,2020-08-31,6.9,12.5,1.0,4.8,3.3,SSW,37,12:32,8.8,76,3,W,7,1024.6,11.5,67,7,S,13,1024.8