"Daily Weather Observations for Melbourne, Victoria for March 2021"
"Prepared at 23:37 UTC on Monday 29 March 2021   IDCJDW3050.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,13.8,21.7,0,6.4,6.3,S,44,18:35,16.6,72,6,WSW,6,1012.3,19.7,67,6,S,15,1012.2
,2021-03-2,13.3,18.1,0,6.2,1.4,SSW,39,13:24,14.7,55,7,S,15,1018.1,17.0,44,7,SSW,15,1018.6
,2021-03-3,14.2,17.7,0,4.4,2.1,SSW,33,14:42,15.2,62,7,SSE,11,1020.0,17.3,54,7,S,13,1019.8
,2021-03-4,13.6,21.4,0,4.0,2.6,WSW,35,22:37,15.3,60,7,WSW,11,1017.2,19.0,60,7,SSW,7,1015.3
,2021-03-5,15.0,18.0,1.4,4.4,3.6,S,35,00:36,15.8,55,7,S,13,1015.1,17.1,53,7,SSW,20,1015.7
,2021-03-6,14.2,19.4,0,5.6,10.0,S,33,17:07,15.2,57,7,SE,9,1014.8,18.3,58,2,S,17,1014.1
,2021-03-7,11.3,28.5,0,6.0,7.9,N,26,12:20,13.7,82,6,NE,7,1012.0,27.2,29,6,S,7,1008.2
,2021-03-8,13.7,19.6,0.2,6.0,0.0,SSW,31,16:30,17.4,88,8,WSW,6,1010.4,17.5,79,8,SSW,4,1010.3
,2021-03-9,13.5,19.6,5.4,0.2,6.9,SSE,33,14:44,14.2,93,7,WSW,6,1017.0,18.5,63,4,S,15,1018.0
,2021-03-10,12.2,20.1,0.2,6.8,7.2,SSW,30,14:35,15.5,81,7, ,Calm,1021.7,19.7,58,1,SW,11,1019.5
,2021-03-11,11.6,24.7,0,5.0,4.6,SSW,24,15:56,15.0,86,7,N,9,1018.6,21.0,69,7,SW,9,1016.2
,2021-03-12,14.9,30.3,0,4.0,10.1,N,26,12:35,17.9,94,1,N,7,1016.7,29.0,36,7,NNE,9,1012.6
,2021-03-13,17.7,27.2,0,9.6,0.3,N,41,06:36,24.5,52,7,N,17,1007.4,19.0,87,8,SW,6,1010.4
,2021-03-14,11.0,17.7,17.2,7.4,10.0,SW,31,02:19,11.9,71,1,W,7,1021.1,17.2,49,5,S,15,1021.8
,2021-03-15,8.9,22.2,0,2.4,5.2,S,24,22:26,11.1,74,5,NNE,9,1024.8,20.3,58,7,S,7,1023.3
,2021-03-16,11.1,20.6,0,2.2,8.0,SSW,26,13:50,16.2,68,7,SSE,9,1026.7,19.6,62,1,SSW,13,1024.7
,2021-03-17,13.9,26.4,0,2.8,9.9,S,24,13:29,16.2,86,0,NE,4,1025.1,25.4,50,2,SSW,9,1022.7
,2021-03-18,13.8,24.9,0,5.8,5.1,S,22,16:04,16.8,80,7,NE,4,1025.8,24.0,59,7,SSW,9,1024.0
,2021-03-19,14.2,26.1,0,5.2,6.1,ESE,31,19:22,16.1,88,7,NE,2,1027.2,24.3,63,3,SSW,11,1025.2
,2021-03-20,14.0,26.0,0,5.4,5.3,E,31,13:37,16.7,90,1, ,Calm,1027.4,24.0,49,7,ESE,13,1024.3
,2021-03-21,16.7,21.7,1.2,3.0,0.0,ESE,17,16:34,18.9,96,8,S,2,1022.6,21.5,86,8, ,Calm,1020.0
,2021-03-22,17.5,24.2,5.6,2.6,1.8,NNE,31,12:51,18.9,94,7,NNE,6,1018.8,21.6,72,7,N,13,1016.1
,2021-03-23,17.6,22.0,13.8,0.6,0.6,SSW,30,14:29,17.8,100,7,SSE,4,1007.6,21.0,78,7,SSW,11,1002.5
,2021-03-24,17.0,20.3,0.6,2.2,1.7,S,33,13:40,17.5,100,7,W,4,999.9,19.3,85,7,S,17,999.7
,2021-03-25,15.5,21.1,4.6,2.8,3.1,WNW,31,04:55,15.7,87,7,W,9,1005.3,19.8,52,7,WNW,13,1006.4
,2021-03-26,11.2,22.0,0.2,2.8,6.5,N,33,12:05,13.3,77,1,NE,9,1013.7,20.4,46,7,NNW,17,1011.0
,2021-03-27,13.2,21.3,3.4,3.8,4.1,NW,31,14:21,14.9,88,7,NNW,7,1010.8,19.9,44,2,WNW,7,1010.6
,2021-03-28,12.4,20.2,0,4.4,3.9,SSW,24,11:10,14.2,76,6,NNW,7,1018.8,18.3,55,7,SSW,9,1018.6
,2021-03-29,13.8,18.2,1.0,2.8,8.0,SSW,35,14:21,15.4,73,7,SSW,11,1024.0,17.4,55,7,S,15,1024.7
,2021-03-30,9.8,,0,3.6,,,,,11.5,84,7,NE,2,1027.1,,,,,,