"Daily Weather Observations for Melbourne, Victoria for November 2020"
"Prepared at 13:01 UTC on Thursday 18 March 2021   IDCJDW3050.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,12.6,17.0,0,3.8,8.4,SSW,30,15:21,13.5,70,8,SSE,7,1023.7,16.1,67,1,SSW,17,1023.5
,2020-11-2,9.6,29.5,0,3.0,11.0,NNE,24,13:27,12.3,96,1,NNE,7,1026.6,28.0,28,1,NNE,11,1022.6
,2020-11-3,12.1,30.4,0,5.6,11.8,N,46,11:59,23.1,48,6,NNE,15,1021.8,30.0,32,7,NNW,20,1017.3
,2020-11-4,21.9,22.8,0,12.0,0.1,N,39,03:21,22.0,47,7,NNW,13,1012.1,17.4,85,8,SSW,7,1013.4
,2020-11-5,11.1,15.8,2.8,2.8,9.1,S,44,12:20,12.7,58,7,S,20,1020.2,14.7,47,6,S,20,1021.9
,2020-11-6,9.5,16.6,0.2,4.0,0.6,S,28,16:59,13.2,60,7,SW,7,1021.9,15.0,61,7,SSW,13,1020.4
,2020-11-7,11.3,16.1,1.6,2.8,8.6,SSW,35,11:13,13.7,47,7,S,15,1026.5,15.2,52,4,SSW,17,1027.2
,2020-11-8,8.4,19.5,0,6.4,13.3,SSW,26,13:33,13.1,62,1,SE,6,1028.1,17.9,54,1,S,13,1025.7
,2020-11-9,11.3,29.0,0,6.8,13.3,NNW,39,09:38,18.4,62,0,NE,7,1024.3,27.7,29,1,NNW,13,1020.1
,2020-11-10,16.1,32.0,0,9.6,12.3,N,48,10:11,23.6,37,1,N,20,1018.4,30.9,30,1,N,19,1014.0
,2020-11-11,22.8,28.3,0,14.6,0.0,NNE,35,06:15,26.0,33,7,NNE,19,1010.3,23.6,49,8,W,13,1009.2
,2020-11-12,19.3,25.5,4.0,3.8,9.8,N,44,11:31,21.9,51,1,NW,19,1003.3,23.9,43,5,NNW,20,1002.0
,2020-11-13,15.4,20.6,0,8.0,5.4,SSW,31,18:36,17.1,52,3,WSW,7,1005.2,18.7,58,7,SSW,9,1004.3
,2020-11-14,13.5,21.0,0.2,4.0,7.2,SSW,24,12:42,15.2,75,7,WNW,7,1010.1,19.5,47,5,SSW,15,1009.7
,2020-11-15,12.3,32.5,0,5.0,4.9,NW,67,16:11,18.3,59,7,SW,7,1012.5,31.3,25,6,N,31,1004.9
,2020-11-16,18.2,24.3,0,15.0,12.7,NNW,56,23:04,22.2,34,1,NW,13,1008.2,23.2,32,3,SSW,24,1012.9
,2020-11-17,11.9,21.1,0,10.6,12.1,W,28,23:40,15.3,60,5,W,11,1022.2,20.3,43,6,SSE,7,1021.9
,2020-11-18,10.8,29.5,0,5.4,12.3,SW,28,14:27,16.7,62,7,NE,9,1022.5,28.8,19,5,SSE,6,1018.5
,2020-11-19,16.1,34.4,0,10.0,12.0,NNW,46,09:35,23.5,44,4,NE,9,1016.5,33.3,21,7,N,22,1012.0
,2020-11-20,15.6,20.2,0,13.4,12.3,SSW,35,16:31,18.1,65,3,S,11,1018.8,19.1,73,7,SSW,17,1020.6
,2020-11-21,13.3,25.7,0,6.6,4.0,SSW,20,12:58,16.1,76,7,NE,7,1019.4,21.7,59,7,SW,4,1016.1
,2020-11-22,16.1,28.2,0,4.8,1.7,S,31,17:11,20.6,74,7,SSW,6,1014.7,27.6,45,7,NNW,13,1010.5
,2020-11-23,16.6,18.8,30.2,4.2,3.6,S,39,14:51,17.0,100,7,SSW,7,1009.8,17.8,79,7,SSW,13,1012.3
,2020-11-24,13.5,20.3,6.0,4.8,3.1,S,30,23:49,15.6,64,6,WSW,6,1014.3,19.7,59,7,SSW,9,1013.8
,2020-11-25,13.2,30.5,0,3.2,12.5,NW,33,11:17,18.9,66,0,NE,9,1012.0,29.4,41,4,SW,7,1007.8
,2020-11-26,15.8,19.4,0,7.6,8.3,S,35,14:29,17.4,76,7,SSW,13,1015.1,18.0,54,3,SSW,15,1016.6
,2020-11-27,10.2,36.0,0,6.2,11.5,N,35,13:26,16.1,63,2,NNE,6,1013.2,34.1,27,7,NNW,17,1007.6
,2020-11-28,16.0,22.9,0,8.4,0.7,SSW,46,01:05,20.0,73,7,NNE,17,1004.3,19.5,81,8,SSW,9,1005.6
,2020-11-29,14.4,18.6,2.8,3.6,4.0,S,44,06:37,15.5,83,7,SSW,15,1006.9,17.8,67,7,S,19,1012.1
,2020-11-30,12.1,27.2,1.0,4.0,11.4,S,24,12:55,17.0,56,7,SSE,9,1015.5,22.8,48,2,SSW,11,1009.7