"Daily Weather Observations for Melbourne, Victoria for October 2020"
"Prepared at 13:01 UTC on Friday 19 March 2021   IDCJDW3050.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,9.4,19.5,1.8,3.6,9.3,NNW,37,16:48,13.3,63,3,WNW,13,1017.1,19.2,37,1,NW,11,1015.4
,2020-10-2,12.8,26.0,0,6.8,11.3,NNW,54,12:19,17.4,44,0,N,20,1019.1,25.1,40,0,N,22,1016.7
,2020-10-3,17.4,29.4,0,12.0,6.4,N,57,14:32,22.2,40,3,N,26,1018.3,28.4,32,6,N,31,1013.4
,2020-10-4,13.5,29.5,0,12.2,2.4,SSW,44,17:27,21.0,42,7,W,9,1012.7,28.4,34,7,N,19,1006.8
,2020-10-5,9.1,12.7,12.8,6.0,0.3,SSW,39,00:05,9.1,100,8,SSE,11,1018.6,12.0,72,7,S,13,1021.8
,2020-10-6,8.9,12.6,1.0,2.0,0.0,SSW,33,11:55,11.1,59,7,SSE,11,1025.0,11.7,65,8,S,13,1023.6
,2020-10-7,10.1,17.2,3.2,1.8,0.0,SSW,17,16:39,11.5,100,7, ,Calm,1019.7,15.0,90,8,SSW,6,1015.3
,2020-10-8,11.4,16.9,5.4,1.4,2.4,N,59,13:52,15.0,76,7,N,22,1003.0,15.3,66,7,N,33,1001.4
,2020-10-9,11.7,16.7,1.2,4.6,3.7,WSW,39,17:23,12.7,70,7,W,15,1013.9,15.8,53,7,W,15,1014.8
,2020-10-10,10.8,19.4,0,4.0,9.9,NNW,30,11:18,14.2,63,2,NW,11,1020.2,18.4,53,6,SSW,11,1017.5
,2020-10-11,11.5,16.0,0,3.6,5.7,SSE,28,10:48,12.8,80,7,SW,9,1023.1,15.1,49,5,SSW,15,1022.9
,2020-10-12,6.3,25.5,0,4.0,7.2,N,43,12:12,10.7,79,1,N,7,1023.3,22.7,38,3,N,22,1018.6
,2020-10-13,10.6,16.6,0.2,6.0,0.3,SSW,33,01:30,13.2,100,8,S,7,1025.0,15.3,67,7,SSW,17,1025.5
,2020-10-14,11.9,22.7,0,2.8,6.5,S,24,14:23,13.9,81,8,NE,6,1024.1,19.4,60,3,SSW,15,1020.3
,2020-10-15,13.8,24.8,0,7.0,0.2,SSW,54,15:07,22.4,47,7,N,22,1011.5,23.7,44,8,N,13,1009.3
,2020-10-16,9.4,18.2,1.4,2.8,7.0,SE,31,08:09,12.3,57,1,SE,13,1019.5,16.2,53,7,SW,7,1015.9
,2020-10-17,11.9,19.2,8.4,3.6,4.4,WSW,37,15:38,16.5,100,7,NNW,9,1008.4,17.5,66,7,SW,11,1009.5
,2020-10-18,11.3,15.2,0.2,3.0,0.7,SSW,41,01:33,12.1,61,7,S,15,1016.8,14.0,53,7,S,15,1017.6
,2020-10-19,8.2,15.5,0,2.0,3.9,SSW,30,16:32,12.1,81,7,SSW,7,1018.9,14.1,80,7,S,15,1019.4
,2020-10-20,7.3,16.6,0,1.8,8.5,SSW,28,17:46,13.2,67,3,SSE,9,1019.2,15.4,60,3,SSW,17,1017.4
,2020-10-21,10.4,18.1,0,3.6,6.8,SSW,28,15:39,14.0,78,7, ,Calm,1016.9,17.2,59,7,SSW,11,1015.3
,2020-10-22,9.2,18.0,0,3.8,11.1,S,28,13:19,13.7,68,6,SSE,9,1016.8,17.5,63,6,SSW,15,1013.7
,2020-10-23,12.9,19.7,0,4.6,0.8,SE,19,07:47,14.9,82,8,E,9,1008.6,17.0,83,7,SSW,11,1006.6
,2020-10-24,11.8,14.9,32.2,2.4,1.4,SSW,52,16:23,11.9,100,8,S,11,1007.2,14.7,71,7,S,17,1009.3
,2020-10-25,8.3,14.6,6.4,3.6,4.3,S,50,05:10,11.0,44,7,SSE,22,1020.7,12.9,64,7,SSE,15,1020.9
,2020-10-26,9.2,17.9,0,4.0,9.1,SE,59,10:01,12.5,60,2,SE,17,1024.2,16.8,44,6,SE,28,1021.9
,2020-10-27,11.1,19.6,0,5.6,4.3,ESE,41,18:12,13.2,71,7,SE,13,1023.4,18.9,53,7,ESE,17,1019.8
,2020-10-28,9.5,20.9,0,3.4,9.5,SSW,30,16:23,13.5,87,3, ,Calm,1020.2,19.7,53,2,SSW,15,1016.0
,2020-10-29,11.2,24.3,0,4.0,6.3,W,54,11:23,16.4,73,1,NNE,7,1012.1,19.0,65,7,S,7,1009.8
,2020-10-30,12.9,18.6,0,4.0,5.1,SSW,35,14:46,14.8,87,7,S,9,1011.4,17.6,83,6,SSW,15,1010.0
,2020-10-31,14.2,16.8,0,4.0,0.1,SSW,46,13:04,15.1,84,7,S,11,1014.5,15.1,80,7,SSW,19,1015.7